Run	Value_Current_Best	Current_Best 2	Value_Solution_At_Iteration	Solution_At_Iteration
1	19.061530112697138	-17.997941391427847 11.998627604044682 	17.318819636219352	-8.995519947858014 10.994524151313792 
1	17.318819636219352	-8.995519947858014 10.994524151313792 	16.8341744647113	-6.995515381197698 10.992948922456746 
1	16.8341744647113	-6.995515381197698 10.992948922456746 	14.068437407341547	-4.990876272653352 6.9872201634389315 
1	14.068437407341547	-4.990876272653352 6.9872201634389315 	13.597085504410556	-6.985267180667257 3.991589317982354 
1	13.597085504410556	-6.985267180667257 3.991589317982354 	12.776939107752764	-5.984055667446162 3.989380244200552 
1	12.776939107752764	-5.984055667446162 3.989380244200552 	12.632269038182844	-4.986181101039788 4.9861385222305055 
1	12.632269038182844	-4.986181101039788 4.9861385222305055 	7.180951648653547	0.9891567493948451 2.967254069627322 
1	7.180951648653547	0.9891567493948451 2.967254069627322 	3.574451877285722	-0.9684786606635772 0.9684773954431161 
1	3.574451877285722	-0.9684786606635772 0.9684773954431161 	2.5799275570300773	-0.9521666228148474 -4.88334421465705e-08 
1	2.5799275570300773	-0.9521666228148474 -4.88334421465705e-08 	5.3353732543115484e-08	-6.550642939311815e-09 1.7689447119994725e-08 
1	5.3353732543115484e-08	-6.550642939311815e-09 1.7689447119994725e-08 	4.568700573415185e-08	1.5231727187293473e-08 5.3765441838897405e-09 
1	4.568700573415185e-08	1.5231727187293473e-08 5.3765441838897405e-09 	4.2832118740676606e-08	3.4430466066528563e-09 1.474683578041814e-08 
1	4.2832118740676606e-08	3.4430466066528563e-09 1.474683578041814e-08 	4.2046581771870706e-08	2.231105860914526e-09 1.4697328817722712e-08 
1	4.2046581771870706e-08	2.231105860914526e-09 1.4697328817722712e-08 	3.967896056167319e-08	2.990506002923956e-09 1.3706177596671365e-08 
1	3.967896056167319e-08	2.990506002923956e-09 1.3706177596671365e-08 	3.333132880811718e-08	1.178374716049271e-08 -1.2434323370379024e-10 
1	3.333132880811718e-08	1.178374716049271e-08 -1.2434323370379024e-10 	3.274460524949063e-08	9.86445710148771e-09 6.059587450575762e-09 
2	13.597085504690684	-6.9852703160533425 3.991588423652534 	2.5799275591495157	-6.217379783836146e-06 -0.9521598774729976 
2	2.5799275591495157	-6.217379783836146e-06 -0.9521598774729976 	2.5799275571428617	1.8410446179152822e-06 -0.952165635494339 
2	2.5799275571428617	1.8410446179152822e-06 -0.952165635494339 	6.915299799459262e-08	-1.7207500836034913e-08 1.7368614515936713e-08 
2	6.915299799459262e-08	-1.7207500836034913e-08 1.7368614515936713e-08 	6.311824929383647e-08	1.347478225101023e-09 -2.2274947045615344e-08 
2	6.311824929383647e-08	1.347478225101023e-09 -2.2274947045615344e-08 	4.3333503008113894e-08	5.054186455746186e-09 1.4463028819850437e-08 
2	4.3333503008113894e-08	5.054186455746186e-09 1.4463028819850437e-08 	4.288858201917378e-08	1.504316256146935e-08 1.905785018592977e-09 
2	4.288858201917378e-08	1.504316256146935e-08 1.905785018592977e-09 	3.6693397653664306e-08	1.2009979270546088e-08 4.905203888391384e-09 
3	19.87818177772458	24.99977846234313 -25.999763496066127 	19.798955752416123	22.999622859058118 -22.999625874762206 
3	19.798955752416123	22.999622859058118 -22.999625874762206 	19.79895575224761	22.99962531114707 -22.99962534164181 
3	19.79895575224761	22.99962531114707 -22.99962534164181 	19.77805758800758	21.999596115547558 -22.999578126656747 
3	19.77805758800758	21.999596115547558 -22.999578126656747 	19.77805758798138	21.999595592902153 -22.99957724110329 
3	19.77805758798138	21.999595592902153 -22.99957724110329 	19.700072982096064	20.99951212179051 -20.99964786753436 
3	19.700072982096064	20.99951212179051 -20.99964786753436 	19.700071698246774	20.99944098458922 -20.999440988086477 
3	19.700071698246774	20.99944098458922 -20.999440988086477 	19.668929969549644	20.999368067988243 -19.999398173958852 
3	19.668929969549644	20.999368067988243 -19.999398173958852 	19.595649905196463	18.999265907035802 -19.999227270583393 
3	19.595649905196463	18.999265907035802 -19.999227270583393 	19.46544580108775	15.999113924143098 -19.998897686794688 
3	19.46544580108775	15.999113924143098 -19.998897686794688 	19.456495722771542	16.99904509452212 -18.998933660618334 
3	19.456495722771542	16.99904509452212 -18.998933660618334 	19.228862139860674	18.998320956285728 -12.998852513423477 
3	19.228862139860674	18.998320956285728 -12.998852513423477 	17.60146252986521	11.994944936356001 -8.99621005781939 
